epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50728,1.01197,2.57797,12.205,1.40052,0,0.00091,0.93651,0.09463,0.03981,0.00091,0.93651,0.08264,0.04045,1.17326,2.64334,30.7612,1.44437,0,0.000651852,0.000651852,0.000651852
2,15.8281,1.17862,2.30554,5.58126,1.54385,0,0.19595,0.18188,0.08153,0.03402,0.19595,0.18188,0.08128,0.03799,1.42222,2.83839,90.5738,2.29798,0,0.00130547,0.00130547,0.00130547
3,22.0592,1.43343,2.38566,5.17301,1.739,0,0.03806,0.22222,0.01793,0.0065,0.024,0.20635,0.01468,0.00614,1.32706,4.14247,32.7512,1.9657,0,0.00194588,0.00194588,0.00194588
4,27.9135,1.48819,2.47196,3.69279,1.73587,0,0.08106,0.38095,0.06449,0.0223,0.07748,0.34921,0.0501,0.01911,1.40266,3.3774,50.4379,2.07513,0,0.0019406,0.0019406,0.0019406
5,34.3141,1.29829,2.23009,4.13641,1.6048,0,0.35054,0.31746,0.2936,0.14232,0.29671,0.28571,0.27632,0.14974,1.21539,3.00746,62.6338,1.69314,0,0.0019208,0.0019208,0.0019208
6,40.5733,1.37185,2.13123,2.45969,1.63043,0,0.33719,0.44444,0.29258,0.15027,0.34711,0.46032,0.29901,0.15068,1.32922,2.37442,31.8565,1.88125,0,0.001901,0.001901,0.001901
7,46.7848,1.40952,2.08979,3.05096,1.69008,0,0.08781,0.22222,0.07816,0.03327,0.08781,0.22222,0.08214,0.03869,1.34019,2.17321,74.24,1.67877,0,0.0018812,0.0018812,0.0018812
8,58.2828,1.37089,2.0546,2.3496,1.66379,0,0.4179,0.39683,0.29222,0.11364,0.35103,0.33333,0.22939,0.06731,1.41285,3.91863,2.56502,1.78943,0,0.0018614,0.0018614,0.0018614
9,58.699,1.45913,2.20434,2.73243,1.66397,0,0.35824,0.4127,0.32916,0.18607,0.37566,0.4127,0.31825,0.17398,1.18231,2.2471,10.5616,1.58465,0,0.0018416,0.0018416,0.0018416
10,64.9287,1.32371,2.0484,1.97464,1.66457,0,0.66261,0.34921,0.39909,0.20101,0.63096,0.33333,0.37566,0.20852,1.11405,1.8603,16.8178,1.54499,0,0.0018218,0.0018218,0.0018218
11,71.2,1.21607,1.93838,1.8952,1.50367,0,0.35733,0.36508,0.197,0.11456,0.35733,0.36508,0.19622,0.12477,1.16274,2.02144,3.19206,1.5805,0,0.001802,0.001802,0.001802
12,77.3515,1.29996,1.984,1.87237,1.59694,0,0.3155,0.30159,0.18566,0.10637,0.3155,0.30159,0.18442,0.10723,1.28819,2.09509,5.94014,1.62666,0,0.0017822,0.0017822,0.0017822
13,82.9797,1.19867,1.98116,2.15302,1.52553,0,0.79052,0.29958,0.4064,0.20068,0.79052,0.29958,0.4171,0.22548,1.22952,2.18994,2.87163,1.55866,0,0.0017624,0.0017624,0.0017624
14,89.2065,1.16474,1.84768,1.81554,1.52364,0,0.6193,0.38095,0.41595,0.19451,0.6193,0.38095,0.40315,0.19151,1.25141,1.93845,5.46682,1.59273,0,0.0017426,0.0017426,0.0017426
15,95.4655,1.2072,1.74529,1.87718,1.51811,0,0.65074,0.32545,0.37305,0.21547,0.59004,0.34279,0.37734,0.22285,1.09749,1.88264,9.96886,1.47327,0,0.0017228,0.0017228,0.0017228
16,101.726,1.18315,1.80427,2.12329,1.46293,0,0.53549,0.52381,0.52781,0.28575,0.51886,0.50794,0.49044,0.29736,1.23732,2.03245,2.16752,1.60039,0,0.001703,0.001703,0.001703
17,107.758,1.12863,1.66239,1.9552,1.4113,0,0.58597,0.31746,0.3716,0.21135,0.55271,0.30159,0.3528,0.21679,1.18695,2.24822,2.22185,1.57983,0,0.0016832,0.0016832,0.0016832
18,113.542,1.22246,1.83311,1.55821,1.55117,0,0.39505,0.38095,0.38189,0.22165,0.37053,0.36508,0.32566,0.21249,1.24764,2.19871,2.60702,1.66663,0,0.0016634,0.0016634,0.0016634
19,119.74,1.1894,1.81774,1.67534,1.47103,0,0.73919,0.38095,0.44233,0.26741,0.67641,0.34921,0.41476,0.26537,1.10085,2.11665,4.70539,1.52075,0,0.0016436,0.0016436,0.0016436
20,125.954,1.19537,1.99919,1.59192,1.54377,0,0.59479,0.49206,0.53957,0.35737,0.59479,0.49206,0.53934,0.37707,0.99773,1.71442,2.80909,1.38816,0,0.0016238,0.0016238,0.0016238
21,132.166,1.0895,1.75864,1.62041,1.47131,0,0.48369,0.39683,0.43813,0.23052,0.3394,0.50794,0.409,0.22444,1.05099,1.93589,2.01423,1.39114,0,0.001604,0.001604,0.001604
22,138.055,1.10915,1.64218,1.54402,1.42689,0,0.4839,0.62512,0.50928,0.31884,0.46079,0.59689,0.45365,0.30644,0.9332,1.86268,1.75675,1.3208,0,0.0015842,0.0015842,0.0015842
23,144.272,1.09119,1.80323,1.44697,1.4458,0,0.5197,0.66667,0.56821,0.37001,0.4999,0.66667,0.50468,0.34494,0.95101,1.8218,2.28503,1.32935,0,0.0015644,0.0015644,0.0015644
24,150.375,1.12404,1.71274,1.46775,1.48784,0,0.48017,0.60317,0.48199,0.30542,0.46684,0.57143,0.44884,0.301,0.99048,1.80375,4.94957,1.37659,0,0.0015446,0.0015446,0.0015446
25,156.408,1.11914,1.79723,1.51822,1.45135,0,0.52596,0.57143,0.58709,0.40943,0.50328,0.60317,0.58254,0.38971,0.94112,1.67768,2.98107,1.341,0,0.0015248,0.0015248,0.0015248
26,162.509,1.09358,1.82946,1.46915,1.48278,0,0.64559,0.26038,0.27701,0.15687,0.60876,0.24713,0.25701,0.1695,1.14228,1.96875,3.18421,1.52063,0,0.001505,0.001505,0.001505
27,168.059,0.98623,1.60005,1.34549,1.36413,0,0.62426,0.65934,0.63536,0.38201,0.56487,0.61905,0.54654,0.39088,1.01731,1.82811,2.14197,1.44468,0,0.0014852,0.0014852,0.0014852
28,174.104,1.04911,1.64888,1.54576,1.41451,0,0.57028,0.54776,0.54881,0.30744,0.58681,0.56363,0.55,0.31117,1.11669,1.75382,2.61274,1.46956,0,0.0014654,0.0014654,0.0014654
29,180.081,0.95976,1.52851,1.34392,1.37633,0,0.54103,0.5873,0.54556,0.35257,0.52641,0.57143,0.52361,0.35763,0.85356,1.43254,2.62183,1.24916,0,0.0014456,0.0014456,0.0014456
30,186.134,0.98645,1.55907,1.24282,1.39043,0,0.54897,0.52381,0.57955,0.36765,0.55917,0.54367,0.59917,0.36439,0.96119,1.59801,1.66264,1.31823,0,0.0014258,0.0014258,0.0014258
31,192.269,1.05216,1.697,1.384,1.36807,0,0.53793,0.68254,0.56079,0.30622,0.4855,0.71429,0.52075,0.32653,1.0666,1.72333,4.9056,1.39463,0,0.001406,0.001406,0.001406
32,197.85,0.94894,1.52726,1.20851,1.28468,0,0.55785,0.63492,0.5734,0.36304,0.54389,0.63492,0.54583,0.36048,0.91149,1.60521,2.22779,1.25612,0,0.0013862,0.0013862,0.0013862
33,203.941,0.91227,1.38981,1.16024,1.26887,0,0.64794,0.63492,0.5759,0.38073,0.62142,0.61905,0.53918,0.36638,0.92692,1.76547,2.28302,1.28197,0,0.0013664,0.0013664,0.0013664
34,210.133,0.95487,1.45101,1.1517,1.33558,0,0.48855,0.5873,0.54627,0.35446,0.47445,0.57143,0.48184,0.32118,1.03446,1.60132,3.02162,1.37626,0,0.0013466,0.0013466,0.0013466
35,216.414,0.94651,1.54215,1.36023,1.3234,0,0.46259,0.63492,0.51909,0.33789,0.47438,0.65079,0.53123,0.33299,0.9089,1.42299,2.33335,1.26489,0,0.0013268,0.0013268,0.0013268
36,222.395,0.97344,1.57852,1.25661,1.39808,0,0.55504,0.60317,0.57106,0.38561,0.57,0.61905,0.56575,0.35331,0.95575,2.0002,1.69369,1.36207,0,0.001307,0.001307,0.001307
37,227.928,0.92752,1.52591,1.24622,1.31894,0,0.7716,0.53631,0.55839,0.33393,0.7716,0.53631,0.55261,0.30371,1.03033,1.62323,2.24338,1.36274,0,0.0012872,0.0012872,0.0012872
38,233.969,1.03979,1.71396,1.35359,1.41147,0,0.59952,0.46032,0.49374,0.28952,0.57885,0.44444,0.47647,0.2816,1.10195,1.72533,2.36831,1.44953,0,0.0012674,0.0012674,0.0012674
39,239.957,0.94483,1.54298,1.20417,1.33808,0,0.60875,0.63492,0.60112,0.33232,0.60039,0.65079,0.59003,0.32686,1.14184,1.6754,2.25654,1.50408,0,0.0012476,0.0012476,0.0012476
40,245.927,0.91072,1.50296,1.2981,1.30041,0,0.47141,0.68254,0.52608,0.37725,0.47141,0.68254,0.5212,0.36549,0.9479,1.80799,2.05647,1.33632,0,0.0012278,0.0012278,0.0012278
41,251.922,0.94284,1.55056,1.30122,1.29769,0,0.55889,0.64361,0.5595,0.3768,0.54587,0.62968,0.53862,0.36118,0.90467,1.59274,2.05627,1.33363,0,0.001208,0.001208,0.001208
42,257.92,0.87837,1.47337,1.21851,1.27579,0,0.47023,0.50794,0.5081,0.31689,0.47023,0.50794,0.49343,0.32491,0.95402,1.60138,1.81039,1.41918,0,0.0011882,0.0011882,0.0011882
43,263.516,0.91827,1.45469,1.16765,1.28801,0,0.57872,0.63492,0.59704,0.40179,0.58042,0.6588,0.61287,0.39213,0.9488,1.67224,2.14238,1.38598,0,0.0011684,0.0011684,0.0011684
44,269.53,0.91755,1.43949,1.11709,1.3251,0,0.57233,0.74603,0.63627,0.42841,0.56985,0.69398,0.61205,0.42746,0.90693,1.38739,1.6058,1.30116,0,0.0011486,0.0011486,0.0011486
45,275.562,0.94692,1.45676,1.14312,1.35834,0,0.54379,0.69841,0.6085,0.42042,0.57274,0.73016,0.62318,0.42147,0.85745,1.41827,1.73429,1.20583,0,0.0011288,0.0011288,0.0011288
46,281.545,0.87555,1.47557,1.23849,1.27749,0,0.55861,0.68254,0.60032,0.42251,0.52263,0.68254,0.55731,0.40466,0.86686,1.52115,2.2921,1.23598,0,0.001109,0.001109,0.001109
47,287.551,0.91039,1.5198,1.19541,1.31418,0,0.58848,0.61905,0.63144,0.43096,0.57038,0.65079,0.59027,0.40992,0.87553,1.50094,2.04432,1.31291,0,0.0010892,0.0010892,0.0010892
48,293.009,0.87174,1.51926,1.15589,1.25471,0,0.67118,0.5873,0.59839,0.3986,0.65304,0.57143,0.5686,0.39292,0.9692,1.50923,2.17116,1.39966,0,0.0010694,0.0010694,0.0010694
49,299.082,0.89783,1.53919,1.07115,1.26739,0,0.69648,0.65566,0.6337,0.42073,0.69648,0.65566,0.60939,0.4185,0.9238,1.52797,2.88914,1.32705,0,0.0010496,0.0010496,0.0010496
50,305.114,0.82201,1.38558,1.05846,1.2432,0,0.62264,0.63492,0.58169,0.39742,0.62264,0.63492,0.56267,0.39278,0.87425,1.53616,1.83579,1.30436,0,0.0010298,0.0010298,0.0010298
51,311.066,0.83942,1.35332,0.99852,1.25739,0,0.59684,0.61905,0.63991,0.44575,0.59684,0.61905,0.6348,0.43808,0.83393,1.42146,1.97907,1.21013,0,0.00101,0.00101,0.00101
52,317.02,0.87391,1.45915,1.14493,1.27217,0,0.58906,0.63492,0.62864,0.4275,0.5727,0.61905,0.59279,0.41892,0.88583,1.57346,1.93654,1.27458,0,0.0009902,0.0009902,0.0009902
53,323.08,0.81922,1.40422,1.09633,1.21988,0,0.70083,0.60317,0.63741,0.46417,0.67212,0.61905,0.61484,0.42624,0.8627,1.49882,1.97493,1.26361,0,0.0009704,0.0009704,0.0009704
54,328.564,0.86388,1.31459,0.95159,1.29402,0,0.67474,0.52691,0.60634,0.41097,0.67474,0.52691,0.60541,0.40707,1.00287,1.86535,1.77053,1.4579,0,0.0009506,0.0009506,0.0009506
