epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,22.6046,0.44211,0.61933,0.54594,1.01395,0,0.99689,0.85714,0.85811,0.81379,0.99689,0.85714,0.85525,0.77398,0.49475,2.01521,0.72312,0.88336,0,0.0014654,0.0014654,0.0014654
29,23.337,0.41251,0.55537,0.51226,1.00363,0,0.99695,0.85714,0.85813,0.79935,0.99695,0.85714,0.85525,0.78668,0.5409,3.81378,0.73529,0.92093,0,0.0014456,0.0014456,0.0014456
30,24.08,0.44414,0.64513,0.52264,0.98936,0,0.9971,0.85714,0.86041,0.78808,0.9971,0.85714,0.85525,0.77831,0.46655,4.6468,0.59257,0.87493,0,0.0014258,0.0014258,0.0014258
31,24.8035,0.47127,0.66252,0.54367,1.00494,0,0.99721,0.85714,0.85702,0.81088,0.99721,0.85714,0.85525,0.78896,0.37024,3.86863,0.53699,0.77625,0,0.001406,0.001406,0.001406
32,25.5637,0.44772,0.6331,0.52835,0.99696,0,0.99727,0.85714,0.8558,0.82141,0.99727,0.85714,0.85534,0.79328,0.39644,3.78054,0.57648,0.83089,0,0.0013862,0.0013862,0.0013862
33,26.2843,0.42621,0.58864,0.51398,0.98557,0,0.99724,0.85714,0.85622,0.80032,0.99724,0.85714,0.85525,0.79101,0.47778,3.60782,0.59864,0.90294,0,0.0013664,0.0013664,0.0013664
34,27.0336,0.40477,0.59587,0.48958,0.98123,0,0.997,0.85714,0.87546,0.75987,0.997,0.85714,0.85525,0.76279,0.57574,2.55179,0.80251,0.97344,0,0.0013466,0.0013466,0.0013466
35,27.7598,0.47092,0.62092,0.50201,1.02902,0,0.9954,0.85714,0.85952,0.77221,0.9954,0.85714,0.85525,0.77657,0.59898,4.55338,0.92269,0.97137,0,0.0013268,0.0013268,0.0013268
36,28.489,0.46281,0.62326,0.50946,1.00465,0,0.98879,0.85714,0.87382,0.80365,0.98879,0.85714,0.85525,0.79354,0.44212,3.26829,0.67545,0.83706,0,0.001307,0.001307,0.001307
37,29.1902,0.40524,0.54709,0.47508,0.97663,0,0.91335,0.85714,0.88794,0.78459,0.91335,0.85714,0.85525,0.7688,0.52942,3.42199,0.91172,0.88994,0,0.0012872,0.0012872,0.0012872
38,29.8858,0.44251,0.64511,0.48537,1.01866,0,0.97171,0.85714,0.89549,0.78683,0.97171,0.85714,0.85555,0.76066,0.51618,3.3936,1.01603,0.89083,0,0.0012674,0.0012674,0.0012674
39,30.5868,0.45714,0.59293,0.52322,1.03096,0,0.97911,0.85714,0.85732,0.72493,0.97911,0.85714,0.85554,0.71538,0.54394,2.32479,1.24739,0.90701,0,0.0012476,0.0012476,0.0012476
40,31.3214,0.42936,0.48539,0.45376,1.00254,0,0.98961,0.85714,0.86047,0.82484,0.98961,0.85714,0.85538,0.7891,0.41984,1.55579,0.64313,0.81337,0,0.0012278,0.0012278,0.0012278
