epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,127.983,1.11174,1.73639,1.56113,1.38706,0,0.49404,0.42857,0.34095,0.22491,0.52178,0.44444,0.35042,0.24742,1.07852,1.65819,2.42728,1.34396,0,0.0014654,0.0014654,0.0014654
29,132.585,1.02447,1.56643,1.37301,1.32588,0,0.40184,0.68245,0.45999,0.31061,0.40184,0.68245,0.43863,0.28656,0.99347,1.7959,2.16875,1.30159,0,0.0014456,0.0014456,0.0014456
30,137.229,1.01952,1.73986,1.4041,1.33825,0,0.44043,0.66667,0.51078,0.34743,0.41325,0.68254,0.47846,0.2898,0.96148,2.08225,1.81963,1.31019,0,0.0014258,0.0014258,0.0014258
31,139.329,1.0497,1.74225,1.7445,1.30912,0,0.46904,0.69841,0.54864,0.34304,0.45838,0.68254,0.51252,0.34228,1.00296,1.68047,2.49306,1.32499,0,0.001406,0.001406,0.001406
32,143.938,1.05665,1.64676,1.39767,1.28743,0,0.46307,0.63492,0.54321,0.36905,0.48058,0.66093,0.52687,0.35353,0.9061,1.67958,2.33866,1.24544,0,0.0013862,0.0013862,0.0013862
33,148.577,1.02642,1.51555,1.30889,1.34635,0,0.68066,0.38095,0.46238,0.28656,0.39954,0.44444,0.38424,0.24925,1.09724,2.29525,3.12674,1.43527,0,0.0013664,0.0013664,0.0013664
34,153.186,1.02835,1.68399,1.26904,1.33179,0,0.545,0.55556,0.55576,0.36265,0.56057,0.57143,0.5366,0.3387,1.06831,1.72065,1.95596,1.36015,0,0.0013466,0.0013466,0.0013466
35,157.831,1.0487,1.66635,1.38623,1.3284,0,0.46364,0.5873,0.51905,0.32738,0.47617,0.60317,0.52907,0.30659,1.0068,1.61357,2.43035,1.36201,0,0.0013268,0.0013268,0.0013268
36,162.48,1.00695,1.59158,1.30009,1.34968,0,0.53839,0.61099,0.48066,0.33153,0.52576,0.59837,0.45616,0.32228,0.9765,1.63655,5.3459,1.32143,0,0.001307,0.001307,0.001307
37,167.113,0.97139,1.54778,1.37794,1.27719,0,0.48839,0.46032,0.44346,0.27481,0.50376,0.46736,0.42158,0.26571,1.09424,1.69789,2.152,1.35234,0,0.0012872,0.0012872,0.0012872
