epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,334.535,1.49274,2.00748,2.15121,1.7033,0,0.58432,0.39683,0.46187,0.21169,0.58432,0.39683,0.46187,0.21586,1.29586,1.76806,4.08175,1.72029,0,0.0014456,0.0014456,0.0014456
30,346.73,1.40967,1.94548,2.02727,1.64536,0,0.69732,0.36508,0.44605,0.26127,0.69732,0.36508,0.44654,0.23932,1.11689,1.73933,2.01049,1.44758,0,0.0014258,0.0014258,0.0014258
31,359.217,1.50902,2.19991,2.13742,1.72523,0,0.70483,0.37909,0.46906,0.23689,0.70483,0.37909,0.46095,0.21376,1.21409,1.88527,2.77411,1.52695,0,0.001406,0.001406,0.001406
32,368.955,1.37111,1.98258,1.9036,1.59946,0,0.4833,0.42857,0.51366,0.28481,0.4833,0.42857,0.48554,0.25367,1.07864,1.80887,2.24775,1.47624,0,0.0013862,0.0013862,0.0013862
33,381.106,1.326,1.90601,1.94256,1.5659,0,0.63997,0.39683,0.42755,0.23771,0.63431,0.33333,0.40074,0.194,1.12451,1.72525,3.04438,1.50166,0,0.0013664,0.0013664,0.0013664
34,390.865,1.38617,1.94195,1.81811,1.67083,0,0.63373,0.28571,0.42794,0.24415,0.63373,0.28571,0.42714,0.23807,1.14762,1.70649,2.11734,1.52527,0,0.0013466,0.0013466,0.0013466
35,403.126,1.50973,2.17503,2.11589,1.74935,0,0.38454,0.49206,0.50308,0.30059,0.38454,0.49206,0.49555,0.27104,1.11747,1.64115,2.22929,1.52116,0,0.0013268,0.0013268,0.0013268
36,415.26,1.30497,1.85223,2.01519,1.59065,0,0.54732,0.38095,0.46418,0.25886,0.54732,0.38095,0.46083,0.22724,1.123,1.68969,2.29947,1.5515,0,0.001307,0.001307,0.001307
37,424.816,1.29737,1.89729,1.90085,1.58622,0,0.48082,0.36508,0.37821,0.19315,0.44664,0.33333,0.36722,0.20029,1.15949,1.68148,3.12532,1.6698,0,0.0012872,0.0012872,0.0012872
38,437.011,1.37456,1.95677,2.0535,1.64332,0,0.49171,0.38095,0.45467,0.27466,0.49171,0.38095,0.45151,0.25408,1.05962,1.58467,2.5975,1.56668,0,0.0012674,0.0012674,0.0012674
39,449.799,1.28115,1.84007,1.89903,1.55267,0,0.72387,0.36508,0.4936,0.25012,0.69088,0.34921,0.48239,0.2205,1.10079,1.60693,2.37919,1.53552,0,0.0012476,0.0012476,0.0012476
40,460.107,1.28767,1.89289,1.98063,1.55978,0,0.55333,0.38095,0.46111,0.27143,0.55333,0.38095,0.45071,0.24987,0.98116,1.73384,3.32808,1.44051,0,0.0012278,0.0012278,0.0012278
41,472.918,1.16029,1.67671,1.95966,1.41792,0,0.54482,0.39683,0.45507,0.2506,0.36202,0.57143,0.43354,0.23908,1.09887,1.6034,2.92951,1.50811,0,0.001208,0.001208,0.001208
42,483.201,1.26839,1.92242,1.79194,1.56046,0,0.50857,0.49206,0.53069,0.31854,0.50857,0.49206,0.52392,0.27658,1.04349,1.62217,2.26451,1.4674,0,0.0011882,0.0011882,0.0011882
43,495.662,1.28852,1.88637,1.93216,1.56059,0,0.67048,0.39683,0.47355,0.25525,0.67048,0.39683,0.47242,0.2492,1.11735,1.62118,2.72706,1.57738,0,0.0011684,0.0011684,0.0011684
44,508.148,1.18099,1.7391,1.81606,1.455,0,0.69999,0.34921,0.47941,0.2743,0.62127,0.33333,0.45278,0.23166,1.03753,1.75516,2.2264,1.43308,0,0.0011486,0.0011486,0.0011486
45,518.412,1.28221,1.78459,1.80859,1.51173,0,0.63257,0.39683,0.53118,0.30832,0.60652,0.38095,0.50197,0.29525,1.06265,1.6438,1.97522,1.46377,0,0.0011288,0.0011288,0.0011288
46,531.776,1.22579,1.87418,1.71896,1.45186,0,0.49946,0.4127,0.51203,0.29043,0.45927,0.46032,0.51509,0.28635,1.04296,1.49695,2.55461,1.39946,0,0.001109,0.001109,0.001109
47,542.399,1.31963,1.89025,1.8374,1.5322,0,0.56153,0.39683,0.47202,0.28472,0.56153,0.39683,0.47231,0.27671,0.99156,1.54926,4.06569,1.49205,0,0.0010892,0.0010892,0.0010892
48,555.579,1.1864,1.76766,1.65747,1.50775,0,0.52905,0.37454,0.3913,0.23311,0.51042,0.36409,0.37938,0.21876,0.95873,1.52792,2.88207,1.39538,0,0.0010694,0.0010694,0.0010694
49,568.387,1.08649,1.62836,1.68578,1.37827,0,0.58674,0.34921,0.45856,0.27511,0.40931,0.44444,0.44894,0.26044,0.96629,1.49322,2.20485,1.39701,0,0.0010496,0.0010496,0.0010496
50,578.782,1.21331,1.78708,1.6706,1.4991,0,0.6899,0.42385,0.56685,0.33526,0.6655,0.41058,0.53817,0.30603,0.95862,1.55614,1.7352,1.35184,0,0.0010298,0.0010298,0.0010298
51,591.64,1.23351,1.77855,1.70717,1.53899,0,0.63081,0.38095,0.42402,0.20782,0.63081,0.38095,0.42399,0.22039,1.00031,1.41558,3.01528,1.39553,0,0.00101,0.00101,0.00101
52,601.963,1.24553,1.85408,1.7258,1.5765,0,0.47918,0.52381,0.45511,0.27014,0.44679,0.50794,0.4296,0.23542,1.01534,1.64101,2.17828,1.40321,0,0.0009902,0.0009902,0.0009902
53,615.086,1.25739,1.91512,1.63029,1.5142,0,0.37522,0.66667,0.47704,0.27871,0.36628,0.65079,0.46598,0.24268,0.99329,1.55702,3.73257,1.40153,0,0.0009704,0.0009704,0.0009704
54,628.134,1.23333,1.83572,1.68006,1.53897,0,0.36719,0.56186,0.50049,0.29646,0.36719,0.56186,0.4972,0.27483,1.01237,1.59344,2.87908,1.46668,0,0.0009506,0.0009506,0.0009506
55,639.145,1.22093,1.74171,1.68494,1.53691,0,0.72116,0.38095,0.4592,0.23374,0.66106,0.34921,0.40265,0.21478,0.99428,1.52373,2.21697,1.45034,0,0.0009308,0.0009308,0.0009308
56,652.512,1.19273,1.8405,1.80563,1.49314,0,0.53465,0.41953,0.38471,0.1772,0.55116,0.39683,0.37566,0.1801,1.00477,1.46367,4.22947,1.3903,0,0.000911,0.000911,0.000911
57,663.07,1.12346,1.83903,1.69831,1.4447,0,0.53045,0.38095,0.44171,0.24142,0.53045,0.38095,0.44171,0.23488,0.98109,1.47273,2.53626,1.36053,0,0.0008912,0.0008912,0.0008912
58,676.302,1.20335,1.90888,1.67689,1.52981,0,0.4292,0.59681,0.51606,0.30723,0.4292,0.59681,0.51851,0.29913,0.94044,1.45615,2.41917,1.33704,0,0.0008714,0.0008714,0.0008714
59,689.575,1.21305,1.66925,1.53034,1.46586,0,0.56137,0.53968,0.49282,0.25251,0.56137,0.53968,0.49214,0.23949,0.98852,1.59127,2.56301,1.39142,0,0.0008516,0.0008516,0.0008516
60,700.15,1.15135,1.82168,1.7149,1.48692,0,0.3915,0.5311,0.53003,0.342,0.3915,0.5311,0.53003,0.30831,0.87778,1.40948,1.99697,1.28123,0,0.0008318,0.0008318,0.0008318
61,713.327,1.08798,1.69435,1.4528,1.43963,0,0.37051,0.73016,0.46198,0.29581,0.37051,0.73016,0.46097,0.27917,0.97125,1.46829,2.87016,1.34477,0,0.000812,0.000812,0.000812
62,724.167,1.10055,1.79785,1.5147,1.41469,0,0.4644,0.61933,0.49912,0.27518,0.45442,0.60819,0.47266,0.26402,0.98513,1.57248,2.23797,1.35875,0,0.0007922,0.0007922,0.0007922
63,737.173,1.09572,1.66958,1.5282,1.34178,0,0.40319,0.54694,0.44721,0.25209,0.40319,0.54694,0.45744,0.26692,0.99332,1.42843,2.33835,1.37089,0,0.0007724,0.0007724,0.0007724
64,750.135,1.00871,1.58173,1.47195,1.31636,0,0.57288,0.48971,0.53202,0.29706,0.53439,0.47619,0.50854,0.28527,0.96496,1.48766,2.03741,1.37775,0,0.0007526,0.0007526,0.0007526
65,760.518,1.00846,1.53757,1.46891,1.3155,0,0.4673,0.45951,0.47904,0.28299,0.4673,0.45951,0.45949,0.28033,0.96758,1.49089,1.72641,1.36536,0,0.0007328,0.0007328,0.0007328
66,773.421,1.01455,1.60131,1.52695,1.33674,0,0.4178,0.64929,0.41034,0.26044,0.4178,0.64929,0.41034,0.24907,0.94746,1.39048,2.76408,1.36469,0,0.000713,0.000713,0.000713
67,783.97,1.07944,1.64254,1.44954,1.38652,0,0.48296,0.53968,0.45795,0.25234,0.48296,0.53968,0.45534,0.24693,1.02404,1.50389,2.38858,1.40496,0,0.0006932,0.0006932,0.0006932
68,797.214,1.09525,1.79651,1.48689,1.43793,0,0.4554,0.55556,0.48367,0.31389,0.44239,0.53968,0.45437,0.30068,0.9584,1.4175,1.59942,1.34324,0,0.0006734,0.0006734,0.0006734
69,810.299,1.06677,1.60691,1.5289,1.3814,0,0.55185,0.39683,0.42992,0.22019,0.52612,0.38095,0.40024,0.21632,1.08979,1.58722,2.57269,1.4222,0,0.0006536,0.0006536,0.0006536
70,821.046,1.06249,1.64047,1.73305,1.34203,0,0.47257,0.65079,0.51883,0.35706,0.47257,0.65079,0.49782,0.31512,0.9378,1.504,1.5693,1.39664,0,0.0006338,0.0006338,0.0006338
71,834.614,1.05895,1.68302,1.52101,1.39946,0,0.42232,0.63492,0.48043,0.3258,0.42232,0.63492,0.48043,0.30364,0.90681,1.41454,3.32736,1.31221,0,0.000614,0.000614,0.000614
72,845.791,1.06887,1.78019,1.36658,1.44571,0,0.46236,0.63492,0.46638,0.27304,0.45009,0.61905,0.44569,0.25392,1.00761,1.48668,2.76827,1.40332,0,0.0005942,0.0005942,0.0005942
73,859.031,1.0701,1.61199,1.31922,1.43263,0,0.4868,0.5873,0.53684,0.34501,0.4868,0.5873,0.50662,0.34237,0.93397,1.42721,2.43268,1.37701,0,0.0005744,0.0005744,0.0005744
74,869.728,0.9958,1.51403,1.38187,1.29669,0,0.51789,0.55556,0.52725,0.33265,0.50309,0.53968,0.49772,0.32255,0.92279,1.46194,2.04551,1.35451,0,0.0005546,0.0005546,0.0005546
75,882.95,0.9749,1.50765,1.3081,1.335,0,0.50534,0.60317,0.51189,0.35073,0.49143,0.5873,0.49239,0.32863,0.91571,1.40132,2.4742,1.34288,0,0.0005348,0.0005348,0.0005348
76,896.374,1.01394,1.625,1.43628,1.36568,0,0.53948,0.60317,0.53418,0.35343,0.53948,0.60317,0.52743,0.33298,0.92227,1.44091,3.01491,1.36228,0,0.000515,0.000515,0.000515
77,907.211,1.01829,1.62809,1.5091,1.33047,0,0.548,0.55556,0.52367,0.32927,0.52729,0.53968,0.4925,0.30124,0.90961,1.39849,2.06932,1.31263,0,0.0004952,0.0004952,0.0004952
78,920.294,1.13661,1.77967,1.55752,1.44066,0,0.59281,0.55556,0.54205,0.37404,0.59281,0.55556,0.54098,0.34653,0.89052,1.49179,2.41635,1.31935,0,0.0004754,0.0004754,0.0004754
79,930.773,0.93695,1.43309,1.39836,1.26062,0,0.5422,0.63492,0.55556,0.35795,0.51899,0.61905,0.48513,0.33043,0.95982,1.40263,2.00527,1.42024,0,0.0004556,0.0004556,0.0004556
80,943.888,0.95643,1.44085,1.22856,1.32452,0,0.54351,0.52381,0.55067,0.35569,0.44054,0.68254,0.51263,0.34725,0.97649,1.43693,2.57355,1.40965,0,0.0004358,0.0004358,0.0004358
81,956.713,0.95581,1.49718,1.45087,1.24892,0,0.5407,0.57143,0.55334,0.35698,0.50001,0.61905,0.48994,0.33404,1.01928,1.40908,2.13556,1.46715,0,0.000416,0.000416,0.000416
82,967.247,0.86645,1.42329,1.37516,1.1967,0,0.56052,0.55556,0.5463,0.33142,0.54451,0.53968,0.50424,0.31002,1.04529,1.47847,1.66148,1.5795,0,0.0003962,0.0003962,0.0003962
83,980.347,1.01829,1.70983,1.43846,1.35782,0,0.62732,0.53968,0.55317,0.3541,0.60718,0.52381,0.50889,0.34192,1.02301,1.49563,3.67613,1.55981,0,0.0003764,0.0003764,0.0003764
84,991.204,0.93074,1.44555,1.24441,1.30268,0,0.52678,0.63492,0.57686,0.37478,0.51726,0.62936,0.52604,0.34394,1.03143,1.45482,1.98712,1.52163,0,0.0003566,0.0003566,0.0003566
85,1004.25,0.98893,1.43248,1.36387,1.28041,0,0.4705,0.68254,0.53173,0.35122,0.4591,0.66667,0.50185,0.31858,0.89543,1.45059,2.16029,1.33398,0,0.0003368,0.0003368,0.0003368
86,1017.32,0.93674,1.55846,1.34091,1.25144,0,0.60439,0.53968,0.5548,0.35892,0.57791,0.52381,0.50921,0.3448,1.00362,1.41488,2.12569,1.49218,0,0.000317,0.000317,0.000317
87,1027.71,0.93499,1.5814,1.1927,1.28601,0,0.49698,0.68254,0.58008,0.37737,0.49698,0.68254,0.54266,0.36122,0.93308,1.3893,2.27882,1.40108,0,0.0002972,0.0002972,0.0002972
88,1040.83,0.90626,1.44932,1.12824,1.27314,0,0.50281,0.66667,0.51917,0.34974,0.49084,0.65079,0.49901,0.32275,0.87527,1.4413,2.7812,1.32266,0,0.0002774,0.0002774,0.0002774
89,1051.1,0.96391,1.61861,1.43709,1.31426,0,0.53566,0.65925,0.59284,0.39307,0.52332,0.64482,0.54723,0.36328,0.93853,1.423,2.37923,1.4388,0,0.0002576,0.0002576,0.0002576
90,1063.81,1.0247,1.48549,1.40613,1.3319,0,0.52231,0.59012,0.55167,0.36526,0.51166,0.58213,0.50049,0.35361,0.96398,1.39817,1.98427,1.42965,0,0.0002378,0.0002378,0.0002378
91,1076.65,0.70312,1.13713,1.06092,1.10454,0,0.56445,0.51434,0.50503,0.31346,0.54826,0.50095,0.45912,0.30896,0.93191,1.42774,1.86851,1.35807,0,0.000218,0.000218,0.000218
92,1086.63,0.69344,0.99842,0.89844,1.11389,0,0.50001,0.68257,0.57745,0.36397,0.48838,0.66669,0.53022,0.35967,1.00269,1.40613,2.10036,1.51073,0,0.0001982,0.0001982,0.0001982
93,1098.87,0.65588,0.96575,0.83236,1.00176,0,0.52054,0.66667,0.56742,0.35976,0.50814,0.65079,0.5199,0.3545,0.95296,1.38875,1.78225,1.43862,0,0.0001784,0.0001784,0.0001784
94,1111.02,0.63542,0.98821,0.85846,0.99048,0,0.5143,0.58828,0.55353,0.35429,0.50131,0.57447,0.50957,0.34991,0.93746,1.39506,1.78416,1.38797,0,0.0001586,0.0001586,0.0001586
95,1120.89,0.6414,0.96658,0.85442,1.04735,0,0.529,0.60616,0.54149,0.36175,0.51514,0.59029,0.50011,0.34827,0.88992,1.3975,1.98634,1.35986,0,0.0001388,0.0001388,0.0001388
96,1133.47,0.61703,1.02475,0.87698,1.01248,0,0.55827,0.68254,0.56498,0.37552,0.54529,0.66667,0.5204,0.356,0.89983,1.40323,1.89827,1.38002,0,0.000119,0.000119,0.000119
97,1143.32,0.6097,1.03052,0.86936,1.04958,0,0.52652,0.65079,0.52704,0.36405,0.51294,0.63524,0.49574,0.34132,0.88752,1.38744,1.98789,1.3556,0,9.92e-05,9.92e-05,9.92e-05
98,1155.72,0.66466,1.05037,0.90151,1.09706,0,0.50128,0.66667,0.52656,0.36461,0.48876,0.65079,0.49682,0.34572,0.8709,1.38047,2.1308,1.33847,0,7.94e-05,7.94e-05,7.94e-05
99,1168.02,0.56613,0.93344,0.77638,0.94148,0,0.54734,0.68254,0.57425,0.38327,0.53426,0.66667,0.54382,0.36706,0.89861,1.39267,1.91925,1.40644,0,5.96e-05,5.96e-05,5.96e-05
100,1177.91,0.65942,0.9731,0.82519,1.09751,0,0.54874,0.65631,0.56988,0.37695,0.52369,0.62832,0.51601,0.35558,0.8779,1.39874,1.86882,1.37467,0,3.98e-05,3.98e-05,3.98e-05
